"","description"
"6.3.2.10","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase"
"6.3.2.11","Carnosine synthase"
"6.3.2.12","Dihydrofolate synthase"
"6.3.2.13","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
"6.3.2.14","Enterobactin synthase"
"6.3.2.17","Tetrahydrofolate synthase"
"6.3.2.2","Glutamate--cysteine ligase"
"6.3.2.20","Indoleacetate--lysine synthetase"
"6.3.2.29","Cyanophycin synthase (L-aspartate-adding)"
"6.3.2.3","Glutathione synthase"
"6.3.2.30","Cyanophycin synthase (L-arginine-adding)"
"6.3.2.31","Coenzyme F420-0:L-glutamate ligase"
"6.3.2.32","Coenzyme gamma-F420-2:alpha-L-glutamate ligase"
"6.3.2.33","Tetrahydrosarcinapterin synthase"
"6.3.2.34","Coenzyme F420-1:gamma-L-glutamate ligase"
"6.3.2.35","D-alanine--D-serine ligase"
"6.3.2.36","4-phosphopantoate--beta-alanine ligase"
"6.3.2.38","N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase"
"6.3.2.39","Aerobactin synthase"
"6.3.2.4","D-alanine--D-alanine ligase"
"6.3.2.41","N-acetylaspartylglutamate synthase"
"6.3.2.43","[Amino group carrier protein]--L-2-aminoadipate ligase"
"6.3.2.45","diaminoheptanedioate ligase"
"6.3.2.47","Dapdiamide synthase"
"6.3.2.49","L-alanine--L-anticapsin ligase"
"6.3.2.5","Phosphopantothenate--cysteine ligase (CTP)"
"6.3.2.6","Phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"6.3.2.7","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase"
"6.3.2.8","UDP-N-acetylmuramate--L-alanine ligase"
"6.3.2.9","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase"
"6.3.3.1","Phosphoribosylformylglycinamidine cyclo-ligase"
"6.3.3.2","5-formyltetrahydrofolate cyclo-ligase"
"6.3.3.3","Dethiobiotin synthase"
"6.3.3.7","Ni-sirohydrochlorin a,c-diamide reductive cyclase"
"6.3.4.12","Glutamate--methylamine ligase"
"6.3.4.13","Phosphoribosylamine--glycine ligase"
"6.3.4.14","Biotin carboxylase"
"6.3.4.15","Biotin--[biotin carboxyl-carrier protein] ligase"
"6.3.4.18","5-(carboxyamino)imidazole ribonucleotide synthase"
"6.3.4.19","tRNA(Ile)-lysidine synthetase"
"6.3.4.2","CTP synthase (glutamine hydrolyzing)"
"6.3.4.20","7-cyano-7-deazaguanine synthase"
"6.3.4.21","Nicotinate phosphoribosyltransferase"
"6.3.4.22","tRNA(Ile)(2)-agmatinylcytidine synthase"
"6.3.4.23","Formate--phosphoribosylaminoimidazolecarboxamide ligase"
"6.3.4.24","Tyramine--L-glutamate ligase"
"6.3.4.3","Formate--tetrahydrofolate ligase"
"6.3.4.4","Adenylosuccinate synthase"
"6.3.4.5","Argininosuccinate synthase"
"6.3.4.6","Urea carboxylase"
"6.3.5.1","NAD(+) synthase (glutamine-hydrolyzing)"
"6.3.5.10","Adenosylcobyric acid synthase (glutamine-hydrolyzing)"
"6.3.5.11","Cobyrinate a,c-diamide synthase (glutamine-hydrolyzing)"
"6.3.5.12","Ni-sirohydrochlorin a,c-diamide synthase"
"6.3.5.2","GMP synthase (glutamine-hydrolyzing)"
"6.3.5.3","Phosphoribosylformylglycinamidine synthase"
"6.3.5.4","Asparagine synthase (glutamine-hydrolyzing)"
"6.3.5.5","Carbamoyl-phosphate synthase (glutamine-hydrolyzing)"
"6.3.5.6","Asparaginyl-tRNA synthase (glutamine-hydrolyzing)"
"6.3.5.7","Glutaminyl-tRNA synthase (glutamine-hydrolyzing)"
"6.3.5.9","Hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)"
"6.4.1.1","Pyruvate carboxylase"
"6.4.1.2","Acetyl-CoA carboxylase"
"6.4.1.3","Propionyl-CoA carboxylase"
"6.4.1.4","Methylcrotonoyl-CoA carboxylase"
"6.4.1.5","Geranoyl-CoA carboxylase"
"6.4.1.6","Acetone carboxylase"
"6.4.1.7","2-oxoglutarate carboxylase"
"6.4.1.8","Acetophenone carboxylase"
"6.4.1.9","Coenzyme F(430) synthetase"
"6.5.1.1","DNA ligase (ATP)"
"6.5.1.2","DNA ligase (NAD(+))"
"6.5.1.3","RNA ligase (ATP)"
"6.5.1.4","RNA 3'-terminal-phosphate cyclase (ATP)"
"6.5.1.5","RNA 3'-terminal-phosphate cyclase (GTP)"
"6.5.1.6","DNA ligase (ATP or NAD(+))"
"6.5.1.7","DNA ligase (ATP, ADP or GTP)"
"6.6.1.1","Magnesium chelatase"
"6.6.1.2","Cobaltochelatase"
